,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
456,"Roch RFR-160DT-B Double Door Fridge, 126L Mechanical Control Comes equipped with big crisper drawer to make your life easier when selecting fresh ingredients. Silent operation, making it ideal for fam",37125,0,2,126.0,Roch
457,"single door fridgeSingle Door Fridge Refrigerator is also energy efficient, so you can save money on your energy bills. Compact and stylish design",24300,0,1,,Unknown
458,Royal - RF-195D Double Door Fridge - 181L,49995,0,2,181.0,Royal
459,Haier FRIDGE HRD-1954CSS 190L,47999,0,Not Found,190.0,Haier
460,Hisense 91L Double Door Fridge REF091DR,24996,0,2,91.0,Hisense
461,Volsmart 118L Fridge Freezer Energy Saving Double Doors Refrigerator VL-BCD118,25999,0,2,118.0,Volsmart
462,Hisense 94 Liters Energy Saving Fridge REFO94DR Refrigerator Silver 94L,25999,0,Not Found,94.0,Hisense
463,Von 138 litres double door refrigerator This fridge is a spacious and convenient way to store your food.,40500,0,2,138.0,Von
464,"RAMTONS 128 LITERS 2 DOOR DIRECT COOL FRIDGE, MAR SILVER- RF171",38800,0,2,128.0,Ramtons
465,Roch RFR-120S-I Single Door Fridge - 90 Litres,21799,0,1,90.0,Roch
466,Von VART-18DMS Double Door Fridge 138L,38999,0,2,138.0,Von
467,Premier PM-50L Mini-Fridge- 50L,18000,0,Not Found,50.0,Premier
468,Original Low energy consumption Rebune Fridge 213L,53042,0,Not Found,213.0,Rebune
469,Original Low energy consumption Rebune Fridge 213L,51498,0,Not Found,213.0,Rebune
470,Original Low energy consumption Rebune Fridge,49999,0,Not Found,,Rebune
471,Haier HRF-239FAKE No Frost 211L Fridge,72500,0,Not Found,211.0,Haier
472,MIKA 90 LITRES SINGLE DOOR FRIDGE.,29999,0,1,90.0,Mika
473,Von VART-19DHY Double Door Fridge 136L - Silver And 10M JSB 6way Extension Gift,39000,0,2,136.0,Von
474,"Von VART-26NMS Double Door Fridge, 202L - Silver",70000,0,2,202.0,Von
475,150 litres Roch 190 si single door refrigeratorSingle Door Fridge is a_sleek and stylish exterior gets you that practical functionality in a pleasing design an ideal fit for your modern kitchen.,39150,0,1,150.0,Roch
476,Royal Double Door 138L RF-150D Fridge,42995,0,2,138.0,Royal
477,Von VART-19DHY Double Door Fridge 136L - Silver And 10M JSB 6way Extension Gift,38000,0,2,136.0,Von
479,Royal 93L Single Door Fridge RF-95D,25595,0,1,93.0,Royal
480,Nunix 90L Single Door Fridge Energy Efficient BC-92 Silver S,26999,0,1,90.0,Nunix
481,Mika fridge Mika 90 litres single door fridge,29950,0,1,90.0,Mika
