,Name,Price(Kshs),Reviews
108,"Refurbished Lenovo ThinkPad X270 INTEL CORE I5-6th Gen 8GB RAM 256GB SSD,12.5'' INCH WINDOWS 10 PRO Refurbished Laptops Computers NOTEBOOK",17599,0
109,"Refurbished Hp Elitebook 820 G3 Notebook - Intel Core i5 6th Gen - 8GB Ram 256gb ssd - 12.5"" Laptops with Windows 10 Office 2019 Silver",19999,8
110,Refurbished Laptop Hp Elite X2 1013 G2 Core i5 6th Genation 8GB+256GB+12.3'' Touch Screen Windows 10 Notebook+STYLUS PEN,38999,0
111,Refurbished HP 348 G3 Notebook Laptop - Intel Core i5 6th - 12GB RAM 1TB HDD ROM - 14'' Windows 10 Bluetooth Webcam Intel HD Graphics Backlit Keyboard Notebook,27999,0
112,Refurbished HP Probook 640 G1 Intel Core i5 8GBRAM 500GB HDD-Storage - Radeon Graphics- 14'' Windows 10 Refurbished Laptops Notebook Computer Refurbished Hp Laptop,17899,21
113,"HOT REFURBISHED LENOVO THINKPAD YOGA 380 CORE I5 8GB RAM 256GB SSD,8TH GENERATION , 14"" TOUCHSCREEN ,X360,STYLUS PEN ,LAPTOP FREE BAG",26999,2
114,NEW HP ENVY X360 2-IN-1 LAPTOP 14 CORE 7 16GB RAM 512SSD STORAGE 15TH GENERATION WINDOWS 11 14 NCHS DISPLAY,120999,0
115,"!!! HP PROBOOK 11 G2 7TH GENERATION X360 TOUCHSCREEN CORE I5 8GB RAM 256GB SSD, 11.6 INCH SLIM LAPTOP NOTEBOOK",21499,2
116,"MONTH HP Elitebook 8460 Laptop Core i5 4GB RAM / 500GB HDD Computer Laptop,windows 10 pro +free mouse ,Silver 14 inch",14199,11
117,HP EliteBook 830 G6 X360 Core I5 8GB RAM 256GB SSD 8th Gen 13.3 inches Touchscreen 2 in 1 Convertible Ultra Slim Refurbished Laptop,39999,0
118,"TOUCHSCREEN Hp Elitebook 830 G5 8th Gen - Intel Core i5 - 8GB RAM 256GB SSD ROM - 13.3"" Refurbished Laptop - Windows 10 Notebook Silver",27999,1
119,"Refurbished Hp Elitebook 840 G2 Touch Screen Laptop Intel Core i5 8gb Ram 500gb HDD 14"" Notebook laptop",23599,0
120,"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home",12999,0
121,"Refurbished Lenovo Yoga 260 x360 Touch Screen with stylus Pen Core i5, 8GB 256GB Computer Laptop",24699,0
122,"TECH WEEK REFURBISHED DELL LATITUDE 5430 LAPTOP CORE INTEL I5 4 GB RAM 500GB HDD 6 MONTHS WARRANTY 14 INCH , WINDOWS 10 PRO",12499,0
123,"NEW LAPTOP LENOVO THINKPAD 11E YOGA 2 IN 1 4GB RAM 128GB SSD TOUCHSCREEN CELERON INSTALLED WINDOWS 10 PRO LAPTOP , FREE MOUSE",13999,7
124,HP EliteBook 840 G5 Core I7 8th Generation 8GB RAM 256GB SSD 14 inches Full HD Touchscreen 1.8GHz up to 4.2GHz Quad Core Processor Windows 11 Professional Ultra Slim Refurbished Laptop,39000,0
125,"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office",21499,0
126,"Hp Probook 650 G2 - Core i5 6th Gen - 8GB RAM - 256GB SSD - 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop - Refurbished Notebook - Windows 11 Refurbished Laptop",24999,0
127,"[Core i5+8gb+256gb+12.5''] Refurbished Hp Elitebook 820 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 12.5"" Notebook Laptop Computer Laptops",17499,0
128,"Hp Probook 650 G2 - Core i5 6th Gen - 8gb Ram - 500gb HDD - 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop - Refurbished Notebook - Windows 10 pro Office 2019",22999,0
129,"[Core i5+8gb+500gb+14''] Refurbished Hp Elitebook 840 G1 Laptop Intel Core i5 6th Gen 8GB 500GB HDD 14"" Backlit Keyboard Notebook Laptop Computer Windows 10",16999,4
130,"Free Mouse i5+8gb+500gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 500GB Backlit Keyboard 14"" Notebook Windows 11 Office 2019",21999,0
131,"Hp Probook 650 G2 Core i5 6th Gen - 8GB RAM 500GB HDD 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop Refurbished Notebook Windows 11 laptop",21999,0
132,"BLACK [Core i5+8gb+256gb+12.5''] Refurbished Hp Elitebook 820 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 12.5"" Notebook Laptop Computer Laptops",19499,0
133,Limited Hot Best Offers Touchscreen x360 Lenovo ThinkPad 11e Laptop Laptop | Intel pentium 6th gen | 4GB RAM | 256GB SSD | 11.6 Inch Refurbished Lenovo Laptops Notebook Computer,14599,0
134,"DELL Latitude 3310 2 in 1, Intel Core i5 8th generation, 8GB RAM 256GB SSD Windows 11 pro, Quad Core, 13.3 inches FHD Touchscreen Refurbished laptop",38999,0
135,"LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO AND FREE MOUSE",11999,0
136,"Free Mouse i5+8GB+256GBRefurbished Lenovo Laptop Lenovo Thinkpad X250 Core i5 8GB+256GB+12.5"" Windows 11 12.5"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty Notebook laptops",18599,0
137,"HP EliteBook 1030 G7 x360 Core i5 10th generation, 8GB RAM 256GB SSD 13.3 FHD Display Touchscreen, Quad core 2 in 1 Notebook pc +Bag Refurbished laptop",53999,0
138,"Dell Latitude 7490 Elite Laptop: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD, Backlit Keyboard, and Face Recognition – 6-Month Warranty",35000,2
139,"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office",19599,0
140,HP SPECTRE X360 2-IN-1 LAPTOP CORE ULTRA 7 16GB RAM 1TB WINDOWS 11 15TH GENERATION 14 NCH DISPLAY,189999,0
141,Limited Hp Refurbished Probook 11 G4 EE X360 Touchscreen Laptop Core i5 8gb Ram 128gb SSD 8th Generation 12.5 Inch Screen in Size With Windows and Office Installed,18999,0
