,Name,Price,Reviews,Screen_size
119,"TOUCHSCREEN Hp Elitebook 830 G5 8th Gen - Intel Core i5 - 8GB RAM 256GB SSD ROM - 13.3"" Refurbished Laptop - Windows 10 Notebook Silver","KSh 27,999",1,13.3
120,Lenovo ThinkPad T460s | Core i5 6TH Gen | 8GB RAM | 256gb ssd | Refurbished Laptop Computer | Notebook Black 14 inch,"KSh 28,999",1,14.0
121,"Refurbished Hp Elitebook 840 G2 Touch Screen Laptop Intel Core i5 8gb Ram 500gb HDD 14"" Notebook laptop","KSh 23,599",0,14.0
122,"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home","KSh 12,999",0,
123,"Refurbished Lenovo Yoga 260 x360 Touch Screen with stylus Pen Core i5, 8GB 256GB Computer Laptop","KSh 24,699",0,
124,"REFURBISHED DELL LATITUDE 5430 LAPTOP CORE INTEL I5 4 GB RAM 500GB HDD 6 MONTHS WARRANTY 14 INCH , WINDOWS 10 PRO","KSh 12,499",0,14.0
125,HP EliteBook 840 G5 Core I7 8th Generation 8GB RAM 256GB SSD 14 inches Full HD Touchscreen 1.8GHz up to 4.2GHz Quad Core Processor Windows 11 Professional Ultra Slim Refurbished Laptop,"KSh 39,000",0,14.0
126,"Core i5+8gb+256gb+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office","KSh 21,499",0,14.0
127,"Hp Probook 650 G2 - Core i5 6th Gen - 8GB RAM - 256GB SSD - 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop - Refurbished Notebook - Windows 11 Refurbished Laptop","KSh 24,999",0,15.6
128,"Core i5+8gb+256gb+12.5'' Refurbished Hp Elitebook 820 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 12.5"" Notebook Laptop Computer Laptops","KSh 17,499",0,12.5
129,"Hp Probook 650 G2 - Core i5 6th Gen - 8gb Ram - 500gb HDD - 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop - Refurbished Notebook - Windows 10 pro Office 2019","KSh 22,999",0,15.6
130,"Core i5+8gb+500gb+14'' Refurbished Hp Elitebook 840 G1 Laptop Intel Core i5 6th Gen 8GB 500GB HDD 14"" Backlit Keyboard Notebook Laptop Computer Windows 10","KSh 16,999",4,14.0
131,"Free Mouse i5+8gb+500gb+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 500GB Backlit Keyboard 14"" Notebook Windows 11 Office 2019","KSh 21,999",0,14.0
132,"Hp Probook 650 G2 Core i5 6th Gen - 8GB RAM 500GB HDD 15.6"" 2.4Ghz- 3.30Ghz Processor LED Backlit Bluetooth Webcam Laptop Refurbished Notebook Windows 11 laptop","KSh 21,999",0,15.6
