product_name,product_reviews,product_price
"VITRON 50"" Inch Frameless Television HTC 5068US Ultra HD Android Smart TV with Bluetooth-Enabled,Netflix Youtube 1.5G+8G USB/SD WIFI Television Multifuctional TV+FREE 360/SWIVEL BRACKET",(0),"KSh 34,990"
"TCL 43S5400A 43"" Inch Smart ANDROID TV BT ,Netflix,WIFI Bluetooth Youtube Appstore",(0),"KSh 27,490"
"VITRON HTC 4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART ANDROID TV Inbuilt Decoder NETFLIX  YOUTUBE APP STORE 1GBRAM 8GBROM 3*HDMI Ports 2*USB Ports + 8  FREE GIFTS",(27),"KSh 22,595"
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS",(0),"KSh 30,695"
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ FREE TV AERIAL+CABLE",(0),"KSh 12,599"
"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 3 EXTRA ACCESSORIES",(0),"KSh 12,999"
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ FREE EXTENSION+TV GUARD",(0),"KSh 12,699"
"(New arrival) Syinix 32E62M 32"" inch E Series FRAMELESS HD LED Digital TV A+ Panel i-Cast TV (Screen Mirroring without Network,Data or Cable) DVBT2+S2 Inbuilt Decoder HIFI Speaker",(30),"KSh 11,595"
"TCL 43INCH SMART TV ,43P635, FRAMELESS 4K ULTRA HD GOOGLE TV, VOICE CONTROL",(1),"KSh 34,499"
"Vision Plus 50 inch Smart TV Frameless VP8850KV 4K UHD Frameless V+ OS Television 50"" + Free Wall Bracket, Bluetooth, NETFLIX OFFICIAL SMART CONTENT TV, DOLBY AUDIO VP8850KV",(47),"KSh 36,999"
