product_name,product_reviews,product_price,clean_product_name,brand,size,tv_type
"Samsung 65Q60D 65"" inches QLED Quantum Processor Lite 4K Tizen OS With 100% Color Volume With Quantum Dot, 4K Upscaling & AirSlim Design Smart TV New 2024",(0),"KSh 139,995","Samsung 65Q60D 65 inches QLED Quantum Processor Lite 4K Tizen OS With 100 Color Volume With Quantum Dot, 4K Upscaling  AirSlim Design Smart TV New 2024",samsung,65,smart
"BLUETOOTH GLD 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+8 GIFTS",(0),"KSh 23,520","BLUETOOTH GLD 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI8 GIFTS",vision,43,smart
"VITRON HTC4388FS 43"" Inch BLUETOOTH FRAMELESS SMART TV Android FULL HD TELEVISION,HAS INBUILT DECODER 1GB-RAM,8GB-ROM,Netflix, Youtube APP STORE 43 INCHES TELEVISION+ 7 FREE GIFTS",(36),"KSh 22,695","VITRON HTC4388FS 43 Inch BLUETOOTH FRAMELESS SMART TV Android FULL HD TELEVISION,HAS INBUILT DECODER 1GB-RAM,8GB-ROM,Netflix, Youtube APP STORE 43 INCHES TELEVISION 7 FREE GIFTS",vitron,43,smart
"Ailyons 32"" inch Frameless Smart Android 11 TV Full HD Netflix TV YouTube  Energy Saving LST3208W Television TV leg/stands Television A+ Panel, HDMI USB Ports Wide Voltage Design+ 7 FREE GIFTS",(0),"KSh 13,995","Ailyons 32 inch Frameless Smart Android 11 TV Full HD Netflix TV YouTube  Energy Saving LST3208W Television TV legstands Television A Panel, HDMI USB Ports Wide Voltage Design 7 FREE GIFTS",vision,32,smart
"Vitron 22"" Inches HD-Digital LED TV - HDMI,USB PORT,Inbuilt Decoder Black 22 inch",(3),"KSh 7,500","Vitron 22 Inches HD-Digital LED TV - HDMI,USB PORT,Inbuilt Decoder Black 22 inch",vitron,22,digital
"Samsung 55DU7010 55'' inches PurColor, 4K Upscaling, Tizen OS & Q-Symphony With Crystal Processor UHD 4K HDR Smart LED TV New 2024",(0),"KSh 66,995","Samsung 55DU7010 55 inches PurColor, 4K Upscaling, Tizen OS  Q-Symphony With Crystal Processor UHD 4K HDR Smart LED TV New 2024",samsung,55,smart
"VITRON 50"" Inch Frameless Television HTC 5068US Ultra HD Android Smart TV with Bluetooth-Enabled,Netflix Youtube 1.5G+8G USB/SD WIFI Television Multifuctional TV+FREE TILT WALL BRACKET",(0),"KSh 35,799","VITRON 50 Inch Frameless Television HTC 5068US Ultra HD Android Smart TV with Bluetooth-Enabled,Netflix Youtube 1.5G8G USBSD WIFI Television Multifuctional TVFREE TILT WALL BRACKET",vitron,50,smart
"Hisense 43'' Inch A6 series,BLUETOOTH TV, Smart ULTRA HD 4K HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO+2 YEARS WARRANTY+FREE BRACKET& POWER GUARD",(0),"KSh 33,999","Hisense 43 Inch A6 series,BLUETOOTH TV, Smart ULTRA HD 4K HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO2 YEARS WARRANTYFREE BRACKET POWER GUARD",hisense,43,smart
"VISION Plus 32"" inch VP8832SF FRAMELESS HD Smart Android TV BLUETOOTH,App Store ,NETFLIX,YOUTUBE Inbuilt decoder  DVBT + a Free Wall Bracket/S2 Screen Share",(52),"KSh 14,495","VISION Plus 32 inch VP8832SF FRAMELESS HD Smart Android TV BLUETOOTH,App Store ,NETFLIX,YOUTUBE Inbuilt decoder  DVBT  a Free Wall BracketS2 Screen Share",vision,32,smart
"BLUETOOTH VITRON 50 inch HTC5068US,50 Inch FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM Youtube,Netflix+FREE 6 GIFTS",(0),"KSh 35,999","BLUETOOTH VITRON 50 inch HTC5068US,50 Inch FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM Youtube,NetflixFREE 6 GIFTS",vitron,50,Unknown Type
"BLUETOOTH VITRON 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14 MONTHS WARRANTY+6 FREE TOP GIFTS",(4),"KSh 13,659","BLUETOOTH VITRON 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2USB 3HDMI 14 MONTHS WARRANTY6 FREE TOP GIFTS",vitron,32,smart
"Gld 32"" Inch, BLUETOOTH-ENABLED, FRAMELESS LED SMART ANDROID TV + 3 FREE GIFTS",(1),"KSh 13,599","Gld 32 Inch, BLUETOOTH-ENABLED, FRAMELESS LED SMART ANDROID TV  3 FREE GIFTS",gld,32,smart
"Vitron 32"" Inches Television Frameless HTC3218 HD Digital LED TV Inbuilt decoder 3 HDMI Output  and 2 USB ports 32 inch 14 Months Warranty+ 5 FREE ACCESSORIES",(0),"KSh 12,599",Vitron 32 Inches Television Frameless HTC3218 HD Digital LED TV Inbuilt decoder 3 HDMI Output  and 2 USB ports 32 inch 14 Months Warranty 5 FREE ACCESSORIES,vitron,32,digital
