standing_cooker_name,standing_cooker_reviews,standing_cooker_price
"Nunix 50 * 55cm (KZ-560-3G1E) 3 Gas 1 Electric Standing Gas Cooker With Electric Oven - Push Button Manual Ignition Burner , Special burners for unique flame for evenly cooking.",(0),"KSh 27,000"
Nunix (KZ-660-3G1E) 3Gas Plus 1 Electric Hotplate Standing Gas Cooker With 60L Oven,(0),"KSh 29,700"
"Mika 50x60, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie Standing Cooker",(0),"KSh 36,999"
"[Price Drop!] Mika 50x60, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate,Rotisserie Free Standing Cooker + Electric Oven",(0),"KSh 36,999"
"3G+1E VON  58*58 STANDING GASS COOKER - Euro pool type burners & Rapid 1500W hotplate, Electric oven, Thick matt enamel grid.",(0),"KSh 43,200"
CHRISTMAS CLEARANCE SALE 50*55 Nunix 3+1 standing cooker ( 3 GAS + 1 HOT PLATE WITH ELECTRIC OVEN) CLEARANCE SALE,(0),"KSh 25,499"
"VON 58*58 Cooker 3Gas+1Hot Plate, Electric Oven + Free Gifts",(0),"KSh 36,500"
VON 50 * 60 STANDING GAS COOKER - 3 Gas Pool Jet Burners + 1 Electric Free Standing Gas Cooker + Electric Oven,(0),"KSh 37,800"
"Mika 50cm*60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie Standing Cooker",(0),"KSh 36,999"
"Share this product


Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe",(0),"KSh 2,599"
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Standing Gas Cooker - With Electric Oven",(0),"KSh 27,000"
Marble Mika Standing Cooker 58 x 58 cm 3 Gas + 1Electric Hotplate - With Electric Oven,(0),"KSh 43,200"
"[BLACK NOVEMBER SALE] MIKA 50cm * 60cm, 3 Gas Jet Burners +1 Electric, ROTISSERIE, 4 Function Electric Oven - Standing Cooker",(0),"KSh 36,999"
"[SPECIAL OFFER] MIKA 50cm * 60cm, 3 Gas Jet Burners +1 Electric, ROTISSERIE Free Standing Cooker with Electric Oven",(0),"KSh 32,999"
Nunix 60*60 3gas+1 hot plate standing cooker + FREE GIFT,(0),"KSh 29,999"
Eurochef EG55-3G1E+E OVEN Free Standing Cooker + FREE 2M Gas Pipe,(0),"KSh 25,000"
